LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
889,4000,667,2667,889,800,800,800,800,800,800,1229,977,1112,1159,1128,1423,41,33,54,46,71,61,0
1131,4000,2000,2667,1037,800,800,800,800,800,800,1149,901,1001,1038,1016,1326,50,18,25,35,56,42,0
162,0,1333,2667,74,800,800,800,800,800,800,707,396,356,412,394,778,6,5,3,4,9,8,1
646,4000,667,2667,444,400,400,1600,400,400,400,587,270,272,337,326,717,7,0,3,5,7,6,0
1333,4000,667,2667,741,800,800,800,800,800,800,983,717,1401,1685,1448,1647,114,494,403,161,94,83,0
1172,4000,2000,2667,667,1600,1600,1600,1600,1600,1600,1053,777,869,905,878,1219,30,21,22,32,94,53,0
202,4000,667,2667,148,800,800,800,800,800,800,683,371,393,452,437,813,7,5,5,7,10,6,0
1980,0,667,1333,2148,1200,1600,1600,1600,1600,1600,851,555,607,658,642,995,16,10,13,20,29,0,1
525,4000,1333,2667,148,800,800,800,800,800,800,744,432,464,513,497,867,10,7,8,10,16,13,0
40,4000,2000,1333,1778,1600,1600,2000,1600,1600,800,663,357,372,433,415,803,16,0,4,0,28,15,1
242,0,1333,1333,1926,800,800,800,800,800,800,775,471,515,570,557,714,9,10,11,19,0,0,0
202,4000,1333,1333,444,1200,1600,800,800,1600,800,623,303,319,388,372,751,0,5,9,0,3,8,0
364,4000,1333,2667,296,1600,800,800,800,800,800,837,537,574,622,599,890,16,7,9,14,18,12,1
364,0,667,2667,370,800,400,800,800,400,800,592,269,277,342,324,718,5,4,4,3,9,8,1
162,0,1333,2667,741,800,800,800,800,800,800,764,438,482,465,361,747,9,16,11,3,3,8,0
606,0,2000,1333,667,1200,1600,800,800,800,800,950,579,585,583,539,880,0,9,9,13,19,23,0
1091,4000,1333,1333,1481,800,800,800,800,800,800,620,314,335,413,413,842,23,16,22,32,150,0,0
485,0,2000,1333,1333,800,400,400,400,400,400,769,266,270,336,324,716,2,1,2,3,4,3,0
444,0,1333,2667,1037,800,800,800,800,800,800,908,620,687,743,726,1073,18,13,22,32,47,26,0
1980,0,667,1333,1481,400,400,1600,1600,400,1600,587,268,270,334,336,723,4,0,0,21,0,0,0
1212,4000,667,2667,815,800,800,800,800,800,800,710,410,440,497,493,873,18,7,9,26,38,30,0
81,4000,2000,2667,1259,1600,1600,1600,1600,1600,400,626,296,307,370,321,716,0,8,0,0,12,7,0
1657,0,2000,2667,815,400,400,800,400,400,0,732,291,296,340,379,743,32,7,6,91,79,15,0
1414,0,1333,2667,741,800,800,800,800,800,800,709,378,351,408,405,726,23,5,9,20,19,15,0
1778,0,667,2667,741,400,400,400,400,400,400,623,279,283,360,331,723,17,11,28,14,24,37,1
566,0,1333,2667,1259,400,400,400,400,400,1600,588,267,270,336,327,716,2,2,2,7,0,4,0
1414,0,667,2667,1407,400,400,400,400,400,400,598,272,291,348,323,724,9,17,15,1,27,16,0
1131,4000,1333,2667,667,400,400,1600,400,400,0,602,295,284,348,320,712,71,0,15,0,0,9,0
283,0,1333,2667,370,400,800,800,800,800,800,594,281,294,364,344,716,9,7,9,0,5,0,0
283,4000,1333,1333,370,800,800,800,800,400,800,679,368,390,359,368,732,7,19,4,73,5,4,0
162,4000,1333,1333,963,400,400,400,400,400,400,596,296,284,338,348,714,38,12,4,42,0,0,0
768,0,667,1333,1185,800,800,800,800,800,800,1023,307,352,421,393,795,51,63,100,154,223,641,0
40,4000,1333,1333,1778,800,800,800,800,1600,800,637,323,340,406,390,774,6,4,6,0,7,6,0
202,4000,2000,1333,1481,800,800,800,800,800,800,785,477,513,563,541,902,9,9,12,16,22,23,0
162,0,667,2667,741,0,0,0,0,0,0,627,310,284,336,329,717,55,12,2,11,6,12,0
1980,0,667,2667,667,800,800,800,800,800,800,1267,1029,2208,2054,2005,2023,183,987,67,110,141,84,0
768,4000,1333,2667,296,0,0,0,0,0,0,586,266,274,341,323,714,1,4,7,0,0,0,0
1414,4000,1333,2667,519,0,0,0,0,0,0,585,264,267,333,321,713,0,0,0,0,3,0,1
1657,0,667,2667,1556,800,800,800,800,800,800,1138,854,776,774,689,1020,25,19,16,19,28,23,0
162,0,1333,1333,593,1200,1600,800,800,800,1600,669,351,374,438,428,804,0,7,8,14,0,17,1
1010,0,667,1333,1185,800,800,800,800,800,800,1452,1210,1376,1384,1017,1159,46,33,22,32,47,24,1
1657,0,667,1333,1926,0,0,0,0,0,0,750,579,607,549,323,714,387,261,255,0,0,0,0
1414,4000,667,1333,1630,0,0,0,0,0,0,586,265,268,334,323,725,0,0,0,0,29,0,0
162,4000,667,1333,1481,1200,1600,1600,2000,2000,1600,746,440,483,540,517,885,9,13,9,0,19,23,0
40,0,1333,2667,74,1200,1600,800,800,800,800,655,332,352,417,391,773,0,6,7,6,9,7,0
162,4000,2000,1333,1556,800,800,800,800,800,800,766,450,474,384,362,748,9,4,4,6,3,8,0
323,0,1333,2667,667,400,400,400,400,400,400,595,269,275,338,354,719,5,5,4,51,14,3,0
0,0,2000,1333,667,1200,1600,800,800,800,800,619,296,302,366,347,724,0,4,4,1,1,42,1
727,0,2000,2667,370,800,800,800,1600,800,800,1028,645,717,740,714,1054,21,29,0,23,33,28,0
1414,0,667,2667,1111,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,1
687,4000,1333,2667,815,0,0,0,0,0,0,586,265,277,334,323,717,0,7,0,0,8,0,0
929,4000,667,1333,1333,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
40,0,1333,2667,2593,1200,1600,1600,1600,800,800,649,334,352,385,374,761,5,5,0,6,9,8,0
687,4000,667,2667,444,1200,1600,1600,1600,800,800,607,283,285,347,333,720,0,10,0,10,0,3,1
162,0,667,2667,667,800,800,800,800,800,800,628,302,306,356,345,714,6,3,0,8,0,0,0
525,4000,667,2667,148,800,800,800,800,800,800,711,364,390,455,402,797,9,7,9,8,42,27,0
40,0,1333,2667,222,800,800,800,800,800,800,641,330,351,409,394,778,9,7,7,4,8,7,0
768,4000,1333,1333,1111,400,400,400,800,400,400,588,282,291,342,330,714,21,17,0,11,0,5,1
485,4000,2000,1333,1704,400,400,400,400,400,400,590,279,273,346,334,728,17,4,13,19,39,14,0
808,4000,2000,2667,1852,1200,1600,800,800,400,400,607,286,356,406,332,715,0,57,0,15,2,30,1
929,4000,667,1333,1185,400,400,400,800,800,800,604,330,392,435,365,746,79,94,54,0,28,196,0
1010,4000,1333,1333,1333,1600,1600,800,800,1600,800,1431,1132,1289,1373,1062,1365,0,35,111,0,66,54,1
687,4000,1333,1333,1037,400,400,400,400,400,400,626,310,328,369,330,716,54,45,38,12,4,7,0
929,4000,1333,1333,1259,800,800,800,0,0,0,785,316,268,334,323,714,14,0,0,0,0,0,0
727,4000,1333,1333,889,800,800,800,0,0,0,728,421,268,334,323,714,10,0,0,0,0,0,0
687,4000,3333,1333,1333,800,800,800,800,800,800,885,565,607,657,640,1000,14,9,13,19,47,607,0
889,4000,1333,1333,593,1200,1600,800,800,800,800,987,700,774,799,782,1121,22,15,19,30,48,31,0
364,4000,1333,2667,1407,400,400,0,0,400,400,592,265,268,334,334,722,0,0,0,18,20,0,0
929,4000,1333,2667,519,1600,1600,1600,1600,800,800,1627,1316,1475,1377,1244,1441,0,74,0,54,73,53,0
1414,0,667,1333,1111,0,0,0,0,0,0,615,277,271,341,330,716,14,2,7,11,6,90,0
162,4000,2000,1333,1630,800,800,800,800,800,800,598,283,281,350,342,734,7,3,5,6,9,2,0
768,4000,667,2667,667,800,800,800,800,800,800,1283,983,1068,941,910,1056,41,23,25,39,40,27,0
404,0,1333,1333,1778,800,800,1600,800,800,800,986,686,756,785,522,883,32,13,13,142,16,46,1
40,4000,667,2667,74,400,1600,1600,1600,800,800,631,312,335,395,381,766,0,10,0,3,7,2,1
848,0,667,2667,1185,0,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,1
40,0,1333,2667,296,1200,1600,800,800,800,800,654,334,349,414,401,772,0,5,5,6,47,11,0
606,0,1333,2667,370,800,800,800,800,400,800,675,357,346,425,485,842,37,26,35,433,13,10,0
364,0,2000,1333,2593,1200,1600,1600,1600,1600,1600,767,469,504,549,541,905,20,7,0,27,20,0,0
768,4000,2000,2667,1926,1600,1600,1600,1600,1600,1600,1292,1035,1115,1141,1116,1363,38,23,30,46,0,52,1
283,4000,667,2667,296,400,400,1600,400,400,0,589,283,271,359,323,714,22,0,27,0,0,16,0
929,0,2667,2667,593,800,800,800,800,800,800,1363,842,964,946,856,1383,32,33,36,45,628,53,0
162,4000,667,2667,1630,800,800,800,800,800,800,737,415,384,420,401,775,7,4,3,4,6,4,0
283,4000,1333,1333,667,800,800,800,800,800,800,880,564,606,554,536,889,15,10,13,13,19,64,0
283,4000,1333,2667,1037,800,800,800,400,400,400,759,466,517,354,342,731,46,33,22,31,45,37,0
283,0,667,2667,593,400,400,1600,800,800,800,597,282,277,348,328,716,21,0,6,0,0,19,0
81,4000,1333,4000,1778,400,1600,1600,1600,400,1600,605,278,290,347,356,732,0,10,0,54,0,31,1
687,4000,2000,2667,741,0,0,0,0,0,0,596,270,325,347,331,716,7,43,14,14,5,20,0
364,4000,667,2667,444,1200,1600,800,800,800,800,774,458,479,529,504,874,0,7,8,13,18,15,1
242,0,2000,1333,1852,1600,1600,1600,1600,1600,1600,690,383,412,471,458,829,11,8,6,10,0,11,1
768,4000,667,2667,2000,0,0,0,400,1600,1600,586,265,268,355,342,714,0,0,22,0,0,0,0
606,0,667,2667,815,800,800,1600,1600,1600,2000,878,612,672,720,709,1047,41,12,17,35,18,0,0
1293,4000,667,2667,1333,800,800,800,800,800,800,1005,686,707,725,696,1036,18,15,18,27,63,27,0
0,0,1333,1333,1481,0,0,0,0,0,0,598,292,286,334,359,727,33,13,0,60,35,0,0
606,0,667,1333,1630,400,400,400,400,400,1600,587,265,269,333,324,715,0,1,0,4,0,2,0
283,4000,1333,2667,222,800,800,800,800,800,800,828,526,579,618,602,960,14,12,13,16,24,23,0
848,4000,667,2667,593,0,0,0,400,400,400,586,268,268,357,338,767,4,0,25,25,145,32,0
2263,4000,667,2667,667,800,800,800,400,800,400,1730,1418,1332,639,552,888,231,110,331,2,479,317,0
848,0,1333,1333,1852,1600,800,800,800,800,800,1144,872,967,1002,976,1284,27,19,27,40,56,46,0
444,4000,1333,2667,296,2000,2000,1600,1600,1600,1600,894,587,640,648,621,971,0,9,11,21,23,0,1
0,4000,1333,2667,148,0,0,0,0,0,0,590,275,272,338,337,714,13,2,4,23,0,102,0
848,4000,667,1333,1185,0,0,0,0,0,0,637,647,317,424,366,757,464,37,97,70,118,60,0
929,0,667,2667,1630,800,800,800,800,800,0,846,579,601,662,554,739,299,101,313,64,67,63,0
283,0,1333,1333,1704,800,400,800,800,800,800,590,365,365,422,406,879,125,11,5,6,272,11,0
364,0,667,2667,444,400,1600,800,800,800,800,648,305,294,362,354,714,0,3,9,21,0,0,1
444,4000,667,2667,519,400,400,400,400,400,400,595,270,272,336,322,715,9,3,2,0,5,10,0
81,4000,667,2667,296,0,0,0,0,0,0,620,282,307,368,348,716,0,23,0,1,0,0,0
444,4000,667,1333,667,1200,0,0,0,0,400,586,265,268,334,323,715,0,0,0,0,1,2,0
1091,4000,667,1333,1037,1600,400,800,800,800,800,586,636,701,731,664,927,453,16,14,39,19,14,0
1980,0,667,2667,1259,0,0,0,0,0,0,586,265,268,368,323,714,0,0,36,0,0,0,0
40,4000,1333,2667,667,1200,1600,800,800,800,800,657,333,351,367,401,783,0,23,4,122,56,8,1
1051,4000,1333,1333,963,800,800,800,800,800,800,1307,1004,1060,1034,953,1218,46,22,35,46,50,76,0
283,4000,667,2667,1259,0,0,0,0,0,0,595,377,291,342,401,721,144,17,8,128,19,73,0
848,0,667,1333,815,400,1600,400,400,800,800,588,266,270,336,325,715,0,1,1,3,0,2,0
1293,0,667,1333,1407,800,800,800,800,800,800,1680,1460,1674,1020,997,1311,57,44,27,39,69,61,0
1616,0,667,2667,963,800,800,800,400,400,400,2245,1825,2103,340,328,714,79,61,7,9,0,0,1
444,0,1333,2667,667,800,800,800,800,800,800,860,533,535,549,518,855,23,10,9,13,14,11,0
889,4000,667,2667,963,400,400,400,400,400,400,598,281,280,353,342,735,20,8,20,31,59,60,1
283,0,1333,2667,519,800,400,400,400,400,0,779,277,268,360,323,714,28,0,27,0,0,0,0
40,4000,667,2667,222,400,400,400,0,0,0,593,270,268,334,323,714,6,0,0,0,0,0,0
202,4000,1333,2667,296,800,800,800,800,800,800,651,339,360,432,424,789,7,7,13,19,14,15,0
202,0,1333,1333,741,800,400,400,0,0,0,665,265,268,334,323,714,1,0,0,0,0,0,1
283,4000,1333,2667,444,800,800,800,800,800,800,870,574,614,601,555,903,22,8,9,13,20,23,0
162,4000,1333,1333,963,800,800,800,800,800,800,750,445,480,537,523,888,8,6,8,13,17,28,0
808,4000,2000,1333,1481,800,800,400,400,0,0,795,488,270,332,320,712,9,59,3,0,0,8,0
81,4000,2000,1333,1333,800,800,800,800,800,800,693,379,398,447,431,809,9,5,6,5,47,8,1
768,4000,2000,2667,667,800,800,800,800,800,800,1280,1009,1095,1022,906,1132,33,23,34,40,47,34,0
40,0,667,2667,296,1200,0,0,0,0,400,586,265,268,334,323,718,0,0,0,0,9,0,1
525,0,1333,1333,1111,400,400,800,800,800,800,589,328,344,386,385,768,76,4,13,23,3,3,0
121,4000,1333,2667,148,400,1600,400,400,800,800,588,266,270,443,420,799,0,1,118,6,10,6,1
1091,0,1333,2667,815,800,800,800,800,800,800,710,404,439,501,493,872,9,10,9,19,38,55,0
162,4000,1333,2667,148,800,800,800,1600,1600,0,678,329,353,411,323,714,6,9,0,0,0,0,0
283,4000,667,2667,741,400,400,400,400,400,400,606,297,276,352,351,721,39,6,19,46,19,40,0
162,4000,2000,2667,74,800,800,800,800,800,400,628,313,326,391,378,720,6,4,5,6,42,14,0
606,4000,1333,2667,1556,1600,1600,800,800,800,800,1126,628,693,737,718,1062,0,14,16,24,36,30,1
444,4000,667,2667,370,800,800,800,800,800,800,741,481,507,468,359,734,114,148,23,13,47,69,0
606,4000,667,2667,1556,0,0,0,0,0,0,586,265,268,334,326,714,0,0,0,5,0,0,0
970,0,1333,1333,593,1200,0,0,400,400,400,586,265,268,337,351,716,0,0,3,46,6,0,0
566,4000,667,2667,593,0,0,0,0,0,400,586,284,269,338,323,762,23,0,4,3,131,0,1
202,4000,2000,1333,1704,1200,1600,800,800,800,800,726,387,397,456,441,816,0,6,8,8,11,9,0
40,0,1333,2667,889,800,800,800,800,800,800,643,331,350,411,401,797,9,7,9,13,1,36,0
40,4000,2000,4000,1481,0,0,0,0,0,0,596,266,278,338,324,719,4,12,4,3,21,15,0
1414,4000,1333,1333,1630,400,400,400,400,400,400,593,303,286,413,337,821,46,16,86,23,292,25,0
242,0,667,2667,593,1200,1600,800,800,800,800,838,521,544,430,486,858,0,10,4,129,15,15,1
162,0,667,1333,889,1600,1600,800,800,800,400,631,315,333,391,375,735,5,7,31,32,56,193,0
848,0,1333,1333,667,800,800,800,800,800,1600,642,331,333,481,424,731,77,48,157,30,0,64,0
283,0,1333,2667,1111,800,800,800,800,800,800,853,558,612,491,477,850,20,13,9,13,19,25,0
40,0,1333,1333,1111,1600,1600,1600,800,800,800,621,313,321,387,374,760,14,0,5,3,5,7,1
323,4000,1333,1333,815,800,800,0,400,400,0,603,265,268,338,340,775,0,0,5,28,168,72,0
1051,4000,667,1333,1407,400,400,400,400,400,400,656,397,460,456,455,811,159,144,133,215,266,10,0
202,4000,1333,2667,444,800,800,800,800,800,800,733,436,438,466,443,816,27,7,8,7,11,8,0
808,4000,667,1333,1407,0,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
1172,4000,1333,2667,519,800,800,800,800,800,800,675,395,422,386,372,759,46,5,5,13,6,68,0
1010,4000,1333,1333,815,800,800,800,800,800,800,957,653,715,665,648,1004,24,12,13,19,38,30,0
768,0,667,2667,1556,0,0,0,0,0,0,588,268,285,338,328,719,3,12,4,9,14,4,0
121,4000,1333,1333,889,1200,1600,1600,1600,1600,1600,670,358,381,442,427,803,7,6,5,6,0,17,1
162,4000,1333,1333,741,800,800,800,800,800,800,634,323,338,400,385,767,9,4,4,6,9,8,0
485,0,1333,2667,519,800,800,800,800,800,800,946,601,594,647,631,985,14,9,12,18,28,22,0
485,4000,1333,2667,1704,800,800,800,800,800,800,1042,690,775,807,672,1013,18,20,18,19,28,23,0
162,0,1333,1333,1259,800,800,800,800,800,800,766,449,359,408,395,781,7,4,11,4,38,23,0
566,0,667,2667,815,800,400,400,400,400,0,750,269,268,504,323,714,5,0,184,0,0,0,0
202,0,1333,2667,444,1200,1600,1600,1600,1600,1600,623,310,316,382,366,753,9,0,4,0,9,0,1
40,0,1333,2667,222,400,800,800,800,800,400,588,315,327,383,372,735,60,10,0,6,56,0,0
40,0,1333,2667,1926,800,800,1600,800,800,800,638,327,341,406,394,782,9,3,4,6,17,8,0
81,0,2000,4000,2444,800,800,800,800,800,800,667,350,366,430,419,803,11,7,7,26,19,0,0
485,4000,1333,2667,222,800,800,800,800,800,800,1021,714,537,533,517,884,23,7,8,11,19,20,0
40,4000,2000,4000,1926,800,800,800,800,800,800,619,304,318,385,373,760,5,4,4,4,9,3,0
768,4000,667,2667,593,1200,400,800,800,400,400,586,268,274,341,323,715,4,3,4,1,1,0,0
768,0,1333,2667,815,1600,1600,1600,1600,1600,1600,900,593,672,705,694,1046,0,24,0,32,47,38,1
162,4000,1333,2667,519,800,800,800,400,800,800,796,479,501,414,401,782,11,8,178,5,7,5,0
1980,0,667,1333,1556,0,400,800,800,0,0,604,377,460,361,518,737,143,144,29,319,35,787,0
768,4000,667,1333,741,400,400,0,0,400,400,590,265,268,334,343,714,0,0,0,32,0,0,0
929,4000,1333,1333,1630,800,800,800,800,800,800,758,451,474,523,479,854,10,6,8,13,19,10,0
364,0,1333,2667,1185,1600,1600,1600,1600,1600,1600,674,370,386,456,442,817,15,0,13,8,6,15,1
1010,4000,667,2667,889,0,0,0,400,800,800,609,274,271,335,323,714,11,2,1,0,0,0,0
202,0,2000,1333,1259,1600,1600,1600,1600,800,800,703,387,378,435,423,810,0,13,0,10,33,20,1
646,4000,667,2667,444,0,0,0,0,0,0,586,336,399,334,323,720,86,99,0,0,14,0,1
162,4000,1333,1333,889,1200,1600,800,800,0,0,613,277,287,334,323,714,0,3,0,0,0,0,1
1253,4000,1333,1333,667,0,0,0,0,0,0,590,272,281,334,322,733,9,10,0,0,51,28,0
1697,4000,667,2667,889,800,800,800,800,1600,1600,731,409,419,451,419,758,46,16,45,0,38,76,0
646,0,1333,1333,1556,800,800,800,800,800,800,1163,891,847,829,788,1110,37,20,27,29,42,34,0
1495,4000,667,1333,1407,0,0,0,0,0,0,632,307,316,592,348,772,51,36,279,966,157,44,0
40,0,1333,1333,519,800,800,800,800,800,800,652,338,354,415,401,782,6,4,3,5,9,30,0
606,0,667,1333,1407,800,800,800,800,800,800,684,373,378,483,409,741,23,16,64,64,38,0,0
1010,4000,1333,1333,1185,1200,400,400,400,800,400,586,266,272,489,467,716,1,3,168,0,5,3,0
81,4000,1333,2667,1556,800,800,800,400,400,0,680,371,391,342,323,714,9,7,9,0,0,0,0
606,0,667,2667,667,400,400,0,0,0,400,693,264,266,331,317,708,1,1,2,4,7,0,0
566,4000,2667,4000,2074,1200,0,400,400,800,400,585,254,286,377,332,724,0,26,47,0,27,33,0
283,0,2000,2667,1852,1600,800,800,800,800,800,859,562,615,625,514,872,14,10,14,11,16,12,1
323,4000,2000,1333,2296,800,800,800,800,800,800,737,430,464,515,496,863,9,8,7,8,22,9,0
1131,0,1333,2667,963,1200,0,400,800,800,800,586,265,288,369,363,714,0,15,18,13,0,0,1
162,4000,2000,2667,2667,800,800,800,800,800,800,652,335,351,410,395,775,6,4,3,4,6,4,0
727,0,1333,1333,1333,1600,1600,1600,1600,800,800,1176,911,1020,1025,1002,1312,36,20,0,39,61,49,1
1778,4000,1333,2667,1333,400,800,800,800,800,400,1355,431,442,515,324,716,47,10,23,0,4,3,0
485,0,1333,2667,74,800,800,800,800,800,800,1013,638,846,858,525,887,26,339,18,23,28,23,0
283,4000,667,2667,370,800,400,400,1600,1600,1600,590,266,278,340,324,712,2,8,0,0,0,272,0
444,4000,1333,1333,667,800,800,400,400,800,800,677,371,273,455,425,754,14,7,130,13,19,152,0
1374,4000,667,1333,2593,0,0,0,0,0,0,616,402,291,362,397,761,165,17,30,121,128,56,0
889,4000,667,1333,1630,400,400,400,400,400,0,587,266,268,338,323,714,2,0,3,0,0,0,1
162,0,667,2667,222,1200,0,0,0,0,400,586,265,268,334,323,715,0,0,0,0,2,13,0
1374,4000,1333,2667,815,400,400,400,400,400,800,623,426,315,340,354,732,195,35,6,50,0,0,0
323,0,1333,1333,741,800,800,1600,800,800,800,859,621,668,689,519,888,92,0,17,11,19,15,0
1010,0,667,1333,667,400,400,400,800,800,400,590,266,271,336,323,715,1,2,0,0,1222,5,1
1414,0,667,1333,2296,400,400,400,400,800,400,637,323,325,507,419,803,70,43,187,0,243,162,0
162,0,1333,2667,74,800,800,800,800,800,800,666,346,359,422,399,778,8,4,4,6,7,4,0
525,4000,2000,2667,741,800,800,800,800,800,800,914,624,690,741,640,993,16,12,17,19,28,24,0
40,4000,1333,2667,1259,1200,2400,2000,1600,800,800,663,345,358,416,382,751,0,0,0,3,4,3,0
1657,4000,667,2667,1704,400,800,800,800,800,800,588,271,283,348,335,726,5,8,0,0,12,11,0
768,0,1333,2667,1037,800,800,800,800,800,800,684,393,423,444,423,794,46,33,9,32,47,8,0
808,4000,1333,1333,1852,800,800,800,800,800,800,1063,769,754,803,589,951,28,13,20,16,28,19,0
162,0,1333,1333,2074,800,800,800,800,800,800,712,313,314,378,365,754,5,5,4,6,9,8,0
364,0,2000,2667,815,800,800,800,800,400,400,779,437,447,378,327,923,11,7,6,7,573,17,0
1091,0,1333,1333,593,0,0,400,1600,1600,0,584,262,277,337,335,726,0,9,0,20,31,4,0
81,4000,2000,1333,2519,1200,1600,800,800,800,800,695,376,401,457,443,817,0,5,7,9,11,20,1
566,4000,667,2667,593,0,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
162,4000,2000,2667,74,1600,1600,1600,800,800,800,737,460,488,372,398,747,43,1,1,3,3,3,0
1172,4000,2000,1333,1852,800,800,800,400,800,800,1107,835,252,351,329,714,46,0,45,0,0,0,0
283,4000,1333,2667,222,800,800,800,0,0,0,598,280,268,334,323,714,5,0,0,0,0,0,0
929,4000,667,2667,815,400,400,400,400,400,400,606,301,339,371,363,780,43,54,40,67,179,51,0
242,4000,1333,2667,296,1200,1600,800,800,800,800,605,285,296,372,359,738,0,4,13,1,2,0,1
81,0,1333,1333,1259,800,800,400,400,400,400,652,312,294,359,329,714,7,20,26,11,0,0,1
566,4000,667,2667,519,1200,0,0,0,0,400,586,265,268,334,323,715,0,0,0,0,3,0,0
162,0,1333,2667,741,400,400,400,800,800,400,595,265,348,404,324,771,0,60,2,0,155,2,0
40,4000,1333,2667,74,800,800,1600,800,800,800,637,327,340,402,391,782,14,3,4,13,28,0,0
1172,0,1333,1333,1481,800,800,800,800,800,800,1163,798,688,599,721,974,25,16,13,612,38,27,0
40,0,667,2667,222,400,400,400,400,0,0,622,265,272,334,323,714,0,2,0,0,0,0,1
162,4000,2000,1333,1926,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
40,0,667,1333,2370,800,800,800,800,800,800,634,320,337,400,387,772,6,4,3,3,11,8,0
283,0,667,2667,444,400,400,400,400,400,400,587,267,271,335,326,724,3,2,0,6,28,0,0
1091,0,667,2667,444,800,800,800,800,800,400,726,371,388,403,350,749,41,33,27,6,96,60,0
1778,0,1333,1333,2000,0,0,0,0,0,0,652,266,271,456,363,749,2,2,133,66,96,77,0
162,4000,667,2667,222,1200,1600,1600,800,800,1600,766,463,491,544,525,883,11,0,9,23,0,15,0
364,0,667,2667,889,800,800,800,800,800,800,886,597,655,678,643,993,19,12,16,20,31,25,0
606,4000,2000,1333,889,400,1600,400,400,0,0,594,269,278,334,323,714,0,7,0,0,0,0,1
566,0,1333,2667,1778,400,400,0,400,400,400,620,265,268,335,382,716,0,0,1,96,5,0,0
687,4000,2000,2667,593,0,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
566,4000,667,1333,370,1600,1600,1600,1600,1600,800,833,539,576,577,479,785,24,0,11,0,7,3,1
