f1,f2,f3,f4,label
92,38,64,39,1
41,51,89,37,1
24,53,85,48,0
22,78,72,38,1
0,38,36,26,0
74,77,83,41,1
56,86,27,65,1
94,21,84,10,1
84,81,79,42,1
96,30,86,39,1
25,18,3,5,0
60,78,98,9,1
80,73,24,91,1
63,51,31,18,0
0,96,98,13,0
28,22,89,66,1
71,31,15,58,1
59,85,67,71,1
96,56,78,92,1
54,70,57,20,0
60,57,33,96,1
81,35,98,99,1
80,30,35,56,1
36,30,34,42,0
69,10,17,19,0
88,19,90,27,1
52,42,69,59,1
26,53,49,98,1
89,2,97,73,1
0,45,38,96,0
53,68,95,94,1
77,28,62,28,1
62,3,49,43,0
51,92,21,59,0
79,68,3,50,0
84,3,10,82,0
59,23,6,33,0
27,58,41,43,0
48,35,96,53,1
10,60,2,95,0
44,28,83,8,0
83,5,96,3,0
25,2,79,19,0
60,85,14,72,0
59,89,32,98,1
77,77,95,91,1
20,39,13,74,1
39,73,86,48,1
91,25,9,75,0
80,31,13,89,0
87,76,15,72,0
44,68,54,84,1
64,82,43,1,0
62,13,55,46,0
58,90,19,55,1
66,83,34,78,1
68,99,61,59,1
93,75,34,41,0
11,35,57,31,0
72,78,85,48,1
63,41,23,62,1
33,43,35,76,0
35,71,1,66,0
10,30,92,52,0
97,30,88,60,1
62,57,2,11,0
51,88,31,39,0
47,60,70,67,1
95,70,42,45,1
34,39,32,29,1
24,40,15,95,0
97,88,23,24,1
61,35,92,75,0
67,76,36,12,0
37,29,46,22,0
90,68,16,35,1
6,70,37,89,0
81,96,62,13,0
73,36,60,61,1
23,6,32,61,1
8,51,62,9,0
87,6,19,19,0
38,10,31,15,0
53,77,76,79,1
66,48,57,56,1
75,54,39,72,1
78,94,12,97,1
27,33,84,10,1
22,70,9,20,1
57,88,76,60,1
29,36,90,36,0
58,9,87,29,0
100,80,75,84,1
25,54,14,69,1
19,34,18,9,0
39,76,95,72,0
56,15,59,88,1
51,34,64,69,1
10,76,5,55,0
77,32,3,11,0
86,73,75,2,0
86,34,73,5,0
22,60,66,83,1
35,23,74,55,0
62,11,60,44,0
41,85,13,20,0
88,63,36,84,0
97,70,4,58,1
32,41,14,98,1
65,0,84,69,1
6,24,66,46,0
63,80,56,97,1
34,70,16,36,0
89,62,15,3,0
77,30,90,20,1
1,70,52,11,0
14,59,15,82,0
63,91,37,65,1
53,61,60,31,1
18,49,24,76,0
17,8,35,98,0
53,43,100,64,1
0,36,92,38,0
74,84,62,19,1
61,44,42,70,0
48,58,41,24,0
30,73,49,29,0
52,5,40,95,0
48,49,84,83,0
63,4,16,64,0
42,12,56,12,0
58,1,92,18,0
83,19,9,60,0
33,43,79,88,1
10,42,86,68,1
40,80,91,97,1
69,4,79,8,1
87,36,29,95,1
12,97,81,90,1
56,21,88,38,0
5,41,7,37,0
55,18,31,67,0
87,23,21,22,1
48,79,87,30,1
74,18,29,59,0
58,32,85,1,0
59,36,86,69,1
56,44,75,38,0
54,88,32,58,0
25,49,61,13,0
73,45,73,37,0
37,2,84,50,1
72,87,99,95,1
77,95,63,36,1
29,77,45,28,0
79,32,86,96,1
84,87,17,80,1
80,82,5,39,0
4,74,46,93,1
37,41,95,53,1
16,100,69,46,1
34,21,32,61,0
37,95,43,14,0
9,18,96,28,0
92,86,50,71,1
50,1,33,68,1
47,86,95,86,1
48,81,47,13,0
60,3,79,71,1
78,28,82,8,0
59,89,38,83,1
17,5,4,38,0
14,12,30,68,0
58,47,85,95,1
69,53,75,95,1
53,83,12,62,0
35,4,88,47,1
56,30,46,12,0
47,69,82,45,1
35,24,15,58,1
27,82,81,76,0
6,100,42,31,0
100,72,26,8,0
70,26,75,27,0
29,42,99,18,0
76,0,35,18,0
69,32,22,14,0
3,16,1,45,0
30,75,41,2,1
6,16,94,53,0
95,8,60,57,0
65,75,13,57,1
78,5,93,100,0
84,66,38,58,1
3,7,61,51,0
13,62,91,56,1
10,41,77,18,1
35,79,81,74,1
41,48,76,67,1
64,77,55,12,0
14,83,83,98,1
27,55,57,29,0
58,51,53,93,1
54,40,85,32,1
19,87,60,8,1
10,11,55,12,0
47,16,71,7,0
71,71,42,85,1
45,85,96,54,1
92,6,36,76,1
13,73,64,27,1
61,28,13,44,0
47,14,97,35,0
54,71,98,79,1
82,71,3,77,0
88,34,3,23,0
97,39,43,44,1
18,72,84,51,1
94,81,3,11,0
27,48,53,58,1
47,39,92,41,0
72,76,10,6,1
96,79,6,86,1
56,84,54,62,1
53,34,27,96,1
44,55,14,36,0
75,62,67,85,1
28,50,76,7,1
38,27,98,17,0
37,41,15,0,0
55,22,16,48,0
29,64,71,85,0
9,50,94,5,0
58,9,40,73,0
51,90,81,53,1
51,2,41,21,0
79,58,88,46,1
13,31,55,75,0
10,50,39,95,1
42,99,21,9,0
14,67,65,24,0
44,44,93,82,1
30,13,18,32,0
77,19,97,97,1
22,98,80,63,1
72,97,74,57,1
72,82,81,79,1
80,40,19,56,1
56,80,38,35,0
45,64,9,39,0
4,7,47,36,0
11,78,76,64,1
74,70,94,5,1
73,83,24,41,1
64,19,7,57,1
43,91,10,64,0
5,31,90,56,0
67,66,78,20,1
36,49,52,99,1
76,6,80,82,1
42,12,71,86,1
32,92,84,77,1
42,10,74,84,1
44,39,83,89,1
16,76,90,10,1
48,82,42,16,0
94,87,67,11,1
54,65,46,2,0
23,27,43,98,0
28,17,19,9,0
100,12,64,98,1
94,67,4,84,1
98,79,16,76,1
20,23,88,98,1
21,92,56,5,0
86,92,30,56,1
96,95,100,57,1
30,39,100,60,0
24,47,86,73,0
59,98,36,99,1
67,53,20,25,0
17,32,6,82,0
47,70,13,91,0
15,36,10,97,1
57,65,18,55,1
28,57,44,3,0
50,64,47,30,1
10,47,28,3,0
12,91,83,42,0
17,4,36,60,0
17,97,90,60,1
0,10,2,32,0
19,70,93,77,1
14,99,36,30,1
6,30,53,81,0
58,8,14,63,0
2,80,65,73,1
18,37,54,0,0
30,73,53,23,0
10,67,46,8,0
69,64,100,64,1
49,60,5,81,1
47,32,95,2,0
8,44,30,93,0
13,98,74,94,1
17,5,45,69,0
82,22,99,87,1
89,61,80,23,0
8,91,99,58,1
25,5,25,5,0
39,65,50,69,1
4,96,82,24,1
99,6,83,42,1
47,55,51,95,1
49,43,23,63,0
47,66,34,10,0
10,55,77,23,0
41,13,10,41,0
39,57,77,91,1
88,56,44,57,1
45,78,55,35,0
7,9,85,81,0
65,95,86,20,0
18,77,86,100,1
16,8,30,99,0
46,49,72,4,0
86,57,47,47,1
9,73,17,67,0
40,83,35,31,0
3,94,23,63,0
71,15,33,99,1
57,27,78,36,0
62,25,15,17,0
57,22,91,56,0
87,40,85,44,1
70,69,37,38,0
91,90,89,81,1
46,65,28,15,0
17,30,63,3,0
73,47,59,70,1
11,8,39,50,0
92,61,67,52,1
73,9,16,40,0
57,59,87,66,1
99,70,81,75,1
16,55,64,7,0
66,19,38,21,1
90,28,44,66,0
10,32,25,81,0
35,16,80,38,0
11,64,82,21,0
74,19,21,84,0
77,43,72,5,0
3,10,5,82,0
33,83,26,98,1
79,81,3,63,0
69,37,82,38,1
87,51,38,58,1
7,20,56,53,0
26,43,77,18,0
91,40,93,44,0
16,97,47,65,1
40,30,59,15,0
31,18,12,6,0
49,78,53,31,0
20,41,73,92,1
97,20,63,65,1
39,63,2,11,0
64,58,30,27,0
6,6,36,63,0
83,86,60,36,1
13,55,17,33,0
97,51,46,5,1
72,71,24,46,1
9,49,64,57,0
35,79,87,78,1
12,50,47,43,0
46,96,18,25,0
51,64,5,5,1
91,42,60,66,1
77,65,17,41,0
40,20,50,78,0
38,75,43,64,0
68,62,90,72,1
2,47,42,86,1
53,74,39,92,0
80,3,76,60,1
83,100,99,74,1
92,6,74,61,1
80,92,79,99,1
18,87,31,4,0
89,14,24,2,0
53,19,52,88,1
64,99,78,60,1
94,93,7,90,1
26,71,41,84,1
48,40,22,58,0
43,69,45,86,0
92,87,82,88,1
61,24,31,35,0
28,38,98,36,0
88,90,62,40,1
71,92,35,36,1
86,69,48,50,0
98,18,37,5,0
91,10,44,56,0
95,61,27,25,0
34,71,89,34,1
78,94,75,30,1
85,67,28,81,1
12,52,42,91,1
87,98,17,0,0
20,52,83,60,1
25,96,36,41,1
7,98,11,83,0
68,94,92,4,0
22,53,22,4,0
50,100,63,23,0
37,4,1,38,0
13,42,36,58,0
69,67,63,17,0
59,34,24,14,0
93,58,82,32,1
1,94,43,37,0
96,24,22,78,0
51,54,65,41,1
85,12,23,17,0
31,0,33,49,0
96,34,42,38,0
73,1,33,83,1
30,7,85,15,0
20,51,87,64,0
90,98,39,88,1
37,47,78,28,1
17,61,19,58,0
77,47,53,89,1
60,96,68,85,1
97,31,87,96,1
100,10,67,57,1
46,9,72,14,1
70,64,25,73,1
21,41,66,56,1
26,91,74,62,1
65,57,7,58,1
53,58,72,7,0
86,39,92,2,1
0,95,27,74,1
54,44,89,8,0
7,8,60,4,0
23,98,17,98,1
93,82,53,47,0
48,57,48,48,1
84,69,17,83,0
15,22,68,50,0
93,28,0,96,1
38,59,86,92,1
68,48,29,31,0
19,35,24,92,0
4,84,53,78,0
2,30,26,8,0
4,57,76,86,0
6,31,94,5,0
29,69,27,96,0
7,17,64,37,0
93,73,40,73,1
86,41,30,38,0
84,66,28,52,1
7,71,75,94,0
80,86,54,71,1
44,82,85,48,1
40,89,53,52,1
48,23,96,68,1
28,38,90,18,0
7,71,52,53,0
17,49,31,32,0
82,10,57,47,1
92,24,6,34,0
77,77,5,9,1
97,75,92,85,1
61,26,42,38,0
1,27,24,94,1
96,61,31,89,1
26,50,30,70,1
36,48,59,68,0
39,33,46,65,0
59,12,92,60,0
40,26,47,40,0
72,28,94,18,1
70,74,74,92,1
19,25,42,29,0
31,63,70,83,0
43,32,97,62,0
82,94,62,58,1
45,21,17,92,0
23,69,82,7,0
9,85,6,97,1
17,80,29,8,0
1,27,64,58,0
79,81,85,78,1
84,62,2,0,0
52,1,2,67,0
68,36,2,64,0
86,55,22,13,0
67,19,30,24,0
32,45,34,50,1
51,58,72,31,0
28,38,87,10,0
83,97,4,11,1
48,70,60,7,0
89,21,10,63,0
82,100,42,72,0
12,67,5,29,0
88,72,60,34,1
9,87,35,69,0
4,22,40,2,0
75,18,96,91,1
9,38,20,72,0
49,86,69,42,1
94,17,88,92,1
95,44,6,12,0
9,43,77,98,1
76,50,99,41,1
34,100,57,62,1
70,48,55,23,0
84,48,10,98,1
31,91,9,10,0
48,91,100,81,1
49,40,46,13,1
39,56,46,97,1
16,11,23,55,0
71,65,52,13,1
45,70,11,76,0
41,49,1,37,0
99,10,92,71,0
31,73,66,21,0
21,17,34,38,0
18,8,21,55,0
38,61,100,9,1
31,92,80,63,1
25,58,13,17,0
50,42,79,48,0
42,56,42,55,0
83,76,17,38,1
88,25,61,40,1
50,40,37,94,0
62,73,100,31,1
35,100,50,46,1
72,25,75,69,1
98,70,3,93,1
90,26,56,37,0
8,52,86,63,1
38,30,32,84,1
54,48,9,57,0
61,74,51,68,1
88,53,69,4,0
46,89,68,76,1
10,13,98,31,0
45,21,82,78,1
82,86,82,51,0
42,55,13,1,0
28,65,95,66,1
88,73,28,57,1
59,98,86,75,1
19,44,3,61,1
53,10,14,93,1
39,43,58,100,1
61,44,60,12,0
89,57,40,8,1
90,14,2,43,0
86,21,94,31,1
70,20,42,71,1
59,29,51,80,1
81,84,55,50,1
78,25,57,75,1
0,90,27,26,0
90,8,73,13,0
68,23,46,41,1
14,33,85,62,0
81,40,76,49,1
75,14,44,45,0
79,22,86,90,1
78,75,10,86,1
15,30,39,14,0
88,18,65,49,1
17,73,49,54,1
81,68,88,82,1
22,71,21,62,1
23,40,57,79,1
45,1,62,17,0
49,71,64,83,1
87,62,53,90,1
62,21,10,72,1
97,28,37,4,1
68,36,21,99,1
95,98,98,63,1
14,73,14,34,0
46,69,96,5,0
56,69,27,54,1
83,96,31,38,0
4,57,33,44,0
11,56,15,99,0
26,94,75,88,1
90,78,80,54,1
17,100,26,26,0
72,44,68,35,1
21,41,90,37,1
34,65,86,12,1
96,100,52,7,0
83,16,89,16,1
91,41,31,97,0
50,62,18,73,0
80,53,48,57,1
98,11,51,65,0
88,47,58,62,1
0,99,93,11,0
58,81,85,89,1
8,68,50,27,0
27,63,34,41,0
43,70,73,16,0
62,100,43,87,1
5,12,80,100,0
2,15,20,56,0
54,25,88,16,0
38,20,35,11,0
32,10,47,85,0
21,6,50,80,0
89,96,29,54,1
90,12,0,27,0
16,75,28,66,0
1,1,89,43,0
54,88,16,61,1
49,11,93,13,1
47,38,17,48,0
96,17,82,86,1
67,72,1,78,0
56,44,92,27,0
19,52,78,87,1
27,11,12,17,0
75,93,49,44,0
40,17,31,35,0
31,70,76,76,1
36,99,88,3,0
84,38,26,66,0
24,95,50,37,0
100,30,63,49,1
63,81,76,9,1
1,46,40,16,0
72,53,46,69,1
97,60,98,9,1
8,1,33,27,0
7,50,64,36,0
64,98,53,54,1
10,81,68,68,1
35,10,39,10,0
26,19,68,41,0
81,97,83,87,1
39,89,55,93,0
30,7,31,11,0
14,58,78,77,1
85,94,84,94,1
1,90,17,89,1
63,44,66,66,0
92,33,21,47,1
99,34,93,15,0
3,42,54,34,0
33,91,73,80,1
58,65,46,7,0
72,21,47,20,1
13,73,86,92,1
94,65,0,5,0
1,31,5,60,0
19,22,4,70,0
91,94,83,53,1
31,53,92,40,1
9,73,47,15,0
6,22,28,66,0
51,8,59,36,0
39,41,11,70,0
47,25,37,72,0
94,79,31,59,1
63,98,99,25,1
69,97,31,19,1
52,3,29,69,0
88,1,42,0,0
48,94,93,39,1
67,30,53,62,0
18,91,35,11,1
29,66,52,89,0
58,95,10,74,1
17,81,50,9,0
7,55,84,16,1
33,40,50,89,0
41,40,57,34,1
25,17,99,98,1
19,13,21,57,0
52,15,68,45,0
26,57,39,59,1
15,11,20,87,0
90,89,77,5,1
41,18,11,91,1
45,50,65,6,0
33,22,3,51,0
71,95,70,31,1
13,17,15,1,0
99,28,16,25,0
47,87,80,82,1
75,33,9,2,0
25,82,56,16,1
42,15,5,59,1
73,55,92,50,1
48,87,54,22,1
23,35,35,57,0
4,78,79,78,1
37,63,52,70,1
11,35,49,17,0
82,67,31,80,0
69,2,48,100,0
61,69,100,62,1
72,64,41,49,1
3,40,76,28,1
99,35,7,60,0
98,74,29,20,1
84,30,34,68,0
94,7,97,28,1
49,45,22,22,0
40,94,89,45,0
3,90,89,45,0
72,18,72,24,0
63,69,39,22,0
11,7,29,77,0
67,61,0,42,0
25,16,43,91,1
41,7,2,18,0
18,99,14,67,0
9,47,90,84,1
12,43,38,41,1
20,93,55,81,0
83,40,22,90,0
88,78,100,45,1
75,22,48,39,0
37,16,22,93,1
89,73,50,98,0
4,23,77,40,0
78,28,81,72,1
63,18,42,95,1
44,40,21,81,0
11,90,85,81,1
42,57,1,33,0
88,8,44,32,0
92,0,6,49,0
53,21,52,63,0
44,69,48,12,0
100,73,83,97,1
20,57,9,4,0
40,33,13,9,0
48,20,93,9,0
11,43,76,78,0
90,3,55,83,1
55,20,6,12,0
24,52,89,70,0
93,69,33,84,1
30,12,6,50,0
62,19,6,46,1
11,37,84,80,0
25,12,3,26,0
37,10,60,14,0
50,60,62,84,1
82,69,49,23,1
48,47,23,57,1
56,59,33,28,0
72,7,19,96,0
12,10,85,44,0
52,96,75,29,1
49,66,53,68,1
60,73,30,60,1
50,91,4,64,0
66,73,86,79,1
96,57,22,21,0
24,16,5,54,0
87,55,25,80,1
76,33,40,93,0
8,11,49,71,0
41,35,66,58,0
1,100,89,79,1
100,53,14,53,1
72,75,74,97,0
12,13,72,99,1
36,68,44,52,1
83,62,73,77,1
22,35,51,18,0
87,88,51,4,1
42,88,30,6,0
34,47,2,43,0
38,39,35,62,0
87,12,29,17,0
95,56,99,41,1
53,77,82,11,1
27,52,94,62,0
47,7,65,20,1
90,64,51,17,0
67,72,3,22,1
25,7,31,4,0
46,90,25,35,1
59,64,50,81,0
87,3,30,47,0
57,22,60,75,1
44,20,33,95,0
11,36,3,49,1
73,99,27,28,1
86,26,34,83,1
2,99,98,87,1
16,82,22,76,0
28,32,77,39,0
90,82,35,54,0
44,58,32,27,0
86,66,79,50,1
0,65,84,47,0
76,77,36,38,0
61,8,43,35,0
35,33,83,91,0
83,38,24,19,0
30,7,76,51,0
87,17,92,3,0
37,33,53,51,0
4,74,90,73,0
43,92,91,28,1
81,100,60,85,1
38,21,84,71,1
12,60,16,94,1
71,97,23,87,0
83,11,28,45,1
39,53,100,42,1
74,37,59,15,0
81,74,74,79,1
24,64,15,87,1
38,52,6,19,0
25,43,52,72,0
58,18,40,91,1
10,62,42,80,0
40,81,7,0,0
26,97,99,21,1
20,62,100,97,1
16,78,55,81,1
54,61,49,0,1
25,93,47,1,0
96,67,24,2,0
80,93,31,28,0
44,39,16,13,0
75,39,21,8,0
38,37,58,93,1
67,43,55,87,0
43,62,45,96,1
51,2,29,28,0
16,27,93,2,0
21,15,46,91,0
4,48,81,32,0
79,6,76,6,0
83,2,6,88,1
56,48,15,70,1
89,19,26,88,0
1,38,53,84,1
66,34,79,77,1
53,13,65,92,1
36,14,100,13,0
77,25,99,33,0
25,45,90,52,1
5,70,63,26,0
61,42,30,0,1
11,14,73,85,0
11,99,65,9,0
12,32,82,29,0
37,33,59,6,1
22,5,37,46,0
40,54,94,14,1
97,5,1,17,0
21,42,45,56,0
34,93,11,47,0
23,14,51,51,0
34,49,88,61,0
83,21,14,16,0
7,20,13,53,0
61,72,86,56,1
48,99,45,78,1
87,93,16,61,0
14,52,56,5,1
83,40,1,90,0
67,98,95,73,1
28,85,43,66,1
89,79,12,55,1
31,61,44,84,0
49,19,71,78,1
82,20,64,60,0
21,9,96,62,1
42,35,6,64,0
82,48,51,30,1
56,73,57,11,0
57,40,15,63,0
2,13,51,52,1
70,0,11,77,0
81,38,65,71,1
85,58,43,46,0
28,58,42,71,0
76,60,91,84,1
57,14,12,97,0
0,43,45,81,0
37,70,66,47,0
5,21,63,17,0
95,92,52,13,1
25,24,15,50,0
100,24,91,43,1
53,5,81,86,1
98,57,58,84,1
64,17,63,0,0
6,70,55,74,1
65,99,22,88,1
93,16,13,49,0
77,41,64,49,1
77,88,97,31,1
43,37,57,17,1
77,89,95,65,1
89,70,40,91,1
70,80,27,25,1
91,37,87,44,0
16,90,83,22,1
88,81,41,90,1
45,71,61,74,1
85,90,53,86,1
68,36,54,1,0
3,48,18,6,0
25,34,96,100,1
36,87,32,18,0
88,100,37,26,1
4,45,57,13,0
86,94,71,28,1
71,49,30,65,0
89,36,88,85,1
48,49,53,100,0
40,70,6,1,0
25,79,99,56,0
81,90,90,82,1
75,69,94,77,1
92,24,37,57,1
87,9,23,22,0
15,48,5,54,0
33,16,20,74,0
0,42,59,90,0
5,19,41,76,1
80,78,84,38,1
73,70,45,9,0
40,67,28,23,0
100,64,20,53,1
51,11,44,28,0
84,42,42,46,1
96,79,67,60,0
96,83,1,14,0
57,30,82,78,0
31,5,87,41,0
14,49,32,69,0
3,66,98,47,1
65,57,62,5,1
83,24,41,65,1
12,21,98,68,0
80,8,26,85,0
27,87,54,13,1
89,94,99,55,1
9,95,87,19,1
91,42,4,11,1
22,32,71,9,0
29,33,52,49,0
51,55,40,2,0
15,68,0,82,0
8,96,95,74,1
9,45,64,13,0
87,38,77,11,1
56,48,50,84,1
20,68,28,17,0
69,37,81,18,1
93,82,47,1,1
71,18,15,5,1
76,50,68,70,0
39,26,95,94,0
44,27,52,82,0
18,20,23,28,0
32,24,14,23,0
72,6,96,70,1
70,9,37,85,1
12,25,92,74,1
42,45,16,85,0
12,36,79,8,0
40,62,57,42,0
39,88,74,19,1
46,40,54,21,1
31,100,28,91,1
55,35,46,17,0
42,61,59,57,1
39,62,70,13,1
77,10,35,17,0
25,33,93,80,1
9,2,64,80,1
74,74,51,98,1
4,70,33,69,0
69,60,83,99,1
50,28,98,75,1
37,17,59,64,0
50,46,64,1,0
78,87,21,96,1
57,20,22,72,0
84,18,94,93,1
45,5,28,97,0
8,33,47,29,1
26,66,46,49,0
58,5,5,83,0
90,66,81,35,1
33,74,69,72,1
83,48,46,75,1
9,66,32,48,0
28,66,51,45,0
44,62,61,77,1
17,56,21,29,1
82,35,27,19,1
46,77,91,15,1
53,42,92,14,1
61,61,26,75,1
52,2,31,5,0
75,20,17,80,0
73,18,7,21,0
23,66,51,76,0
81,2,92,93,1
36,10,27,57,0
60,61,21,28,0
76,18,74,98,1
84,65,33,21,0
43,58,76,75,1
48,49,16,13,1
66,64,87,53,1
77,12,22,60,0
76,4,100,68,1
15,11,61,84,1
77,69,0,99,1
55,66,53,47,0
89,67,54,29,0
61,98,48,44,1
94,97,89,73,1
17,32,61,98,1
10,36,76,69,1
24,0,90,95,0
73,66,15,66,1
83,26,88,40,1
13,19,54,83,0
33,68,54,72,1
35,87,50,96,1
70,100,71,61,1
71,71,61,32,0
73,44,99,90,1
17,84,15,95,1
100,89,20,12,1
51,100,43,70,1
87,90,6,20,1
81,0,11,18,0
76,55,11,8,0
47,10,77,4,0
51,78,83,66,1
76,7,99,22,0
56,1,25,84,0
66,36,24,4,0
65,66,89,29,1
86,4,46,30,0
20,11,35,99,0
85,50,51,75,1
1,94,90,8,0
70,36,92,71,0
44,44,35,28,0
24,58,51,73,1
22,52,64,13,0
64,37,43,14,0
32,68,73,32,0
48,72,61,98,1
43,99,58,87,1
75,3,61,14,0
48,81,100,28,1
29,40,52,45,0
1,89,33,31,0
51,86,95,43,1
22,60,40,45,1
73,34,23,95,0
24,63,94,25,1
30,33,26,29,0
31,79,45,19,0
15,10,86,84,0
0,97,69,5,0
47,79,40,63,0
73,35,62,23,0
65,35,50,28,0
16,6,67,54,0
69,4,64,44,0
87,99,22,58,0
89,66,58,40,1
1,86,26,48,0
41,46,78,33,1
33,30,34,60,0
43,46,23,63,0
53,89,96,47,1
51,35,57,23,0
73,87,29,12,0
30,71,55,48,1
94,19,60,1,1
63,17,80,66,1
40,100,62,38,1
72,6,50,12,0
7,27,32,60,0
12,57,95,42,1
46,71,71,32,1
52,15,44,86,0
25,73,73,83,1
22,99,36,45,1
65,62,99,94,1
10,48,78,36,0
18,21,81,43,0
78,73,51,9,1
43,29,40,40,0
90,34,77,82,1
56,99,46,95,1
57,52,21,23,0
16,93,30,84,1
95,89,95,10,1
50,13,12,8,0
60,70,6,3,0
67,97,10,13,1
19,10,83,49,0
31,94,36,56,0
16,67,21,3,1
45,41,60,59,0
69,34,70,56,1
89,69,22,75,1
80,95,81,72,1
81,81,68,39,0
61,69,29,11,0
46,52,33,19,0
0,66,97,17,1
60,68,1,88,0
96,61,38,1,0
37,76,29,0,0
24,52,71,55,1
20,91,94,82,1
48,28,33,10,0
30,66,97,78,1
87,34,36,83,0
34,52,24,8,0
37,14,81,58,0
34,89,79,62,1
2,19,6,68,1
13,36,34,16,0
93,1,29,11,1
63,27,43,53,1
63,47,59,89,1
42,10,96,18,1
99,50,9,69,1
24,32,48,1,0
98,91,31,49,1
56,31,94,4,1
94,98,12,66,1
26,60,49,87,0
41,20,80,93,1
70,66,15,32,0
38,25,46,6,0
27,14,30,81,0
1,21,35,74,1
31,1,5,74,0
60,88,76,19,1
11,31,20,63,1
79,43,97,80,1
45,82,19,89,1
13,16,62,29,0
71,100,82,96,1
56,93,24,2,0
45,92,17,32,0
62,90,56,71,1
89,62,24,72,1
44,41,93,59,1
76,70,20,8,0
57,37,33,69,1
0,99,81,64,1
23,2,79,46,0
30,41,92,8,0
68,49,24,67,0
98,70,19,78,1
52,82,41,14,1
84,8,5,16,0
4,25,13,62,0
4,73,82,49,0
67,79,89,75,1
46,28,77,91,1
26,83,62,10,0
81,7,46,71,0
53,47,90,7,0
34,67,5,93,1
38,9,27,66,1
92,29,68,49,1
67,84,31,72,1
22,71,95,71,1
13,98,81,73,1
58,89,85,54,1
21,23,70,51,0
84,20,68,76,1
45,40,70,41,0
52,97,81,55,1
41,77,30,72,1
48,98,70,95,1
57,57,50,0,0
36,76,2,66,1
38,0,38,28,0
40,2,98,88,0
70,65,71,73,0
19,12,4,58,0
17,33,46,74,1
32,38,11,73,0
27,93,9,92,1
61,22,62,88,0
12,76,82,38,1
73,48,10,99,1
98,42,44,55,1
15,98,29,95,1
77,1,81,99,1
6,39,67,5,0
72,19,41,64,0
19,6,86,93,0
57,96,76,73,1
28,55,37,100,1
16,43,10,60,0
6,70,51,33,1
64,55,99,89,1
17,61,71,25,0
83,73,25,71,1
94,67,31,31,1
99,55,41,87,0
11,14,85,52,0
44,24,41,44,0
3,98,39,21,0
78,56,79,18,1
29,25,87,47,1
93,10,14,94,1
79,18,36,1,0
14,39,57,60,1
26,94,68,27,1
66,96,33,70,1
93,18,88,89,1
48,74,84,67,1
21,7,36,25,0
79,34,6,59,0
1,8,49,84,0
84,46,13,2,0
83,49,29,48,1
90,12,40,62,0
68,11,23,25,0
58,71,91,2,1
67,39,42,62,1
20,2,44,87,0
80,38,30,64,1
7,80,32,49,0
3,71,35,28,1
50,84,17,11,0
66,86,78,80,1
53,30,73,19,0
39,77,42,57,1
26,83,17,74,0
25,17,39,88,0
67,17,55,98,1
72,20,40,8,0
92,15,23,40,0
18,93,3,97,1
52,52,38,56,0
81,94,35,19,0
13,16,23,3,0
78,78,34,77,1
29,76,29,29,0
45,10,88,99,1
64,77,60,91,1
23,49,62,60,1
24,28,4,52,0
1,34,52,28,0
25,96,26,8,1
56,78,62,88,1
58,31,54,51,0
77,94,48,92,1
78,95,73,76,1
82,90,100,4,1
57,58,5,31,0
50,94,5,71,1
97,80,6,24,1
50,38,99,36,1
54,37,78,6,0
