age,study_hours,sleep_hours,attendance_pct,prev_score,label
22,7,10,68,95,1
30,1,7,54,18,0
21,10,9,93,50,0
30,8,6,55,50,1
26,1,7,73,86,0
22,9,7,90,47,1
21,7,4,89,71,1
27,3,9,54,81,0
29,4,9,76,14,1
18,4,7,57,12,0
26,2,7,79,47,0
29,11,8,76,75,1
20,6,9,56,62,0
22,0,9,73,27,0
21,5,4,93,47,1
28,5,4,75,35,1
19,7,4,92,27,1
27,0,4,100,42,1
20,12,8,63,8,0
26,3,8,63,29,0
20,12,8,50,35,0
20,2,8,66,22,1
18,2,4,72,100,1
23,0,5,66,6,0
24,8,4,97,8,1
30,5,8,87,13,1
21,9,4,96,100,1
28,8,6,79,82,0
18,7,10,75,54,1
25,11,7,54,10,1
20,1,5,67,79,0
26,11,6,74,76,1
25,8,8,77,12,0
19,10,9,99,70,1
21,6,7,64,52,1
25,6,7,96,12,1
23,10,6,73,19,0
25,1,4,55,11,0
29,11,6,58,71,1
26,8,6,92,15,1
28,12,7,96,6,0
27,4,6,56,73,0
20,10,7,64,13,1
26,5,4,98,35,1
30,6,10,85,98,1
27,10,9,85,3,1
28,11,6,51,23,1
30,4,6,72,0,0
20,9,9,75,8,1
28,0,4,97,67,1
24,7,6,60,47,1
23,12,8,88,10,0
20,2,10,89,6,0
22,7,9,77,62,1
24,4,5,98,65,1
24,1,6,93,86,1
26,10,6,52,28,0
27,0,4,63,38,0
30,2,10,66,37,0
18,7,9,77,22,1
26,11,5,82,71,1
30,5,4,75,94,1
18,7,4,70,73,1
24,11,9,76,37,1
18,5,5,89,58,1
23,1,7,56,31,0
24,8,4,75,39,0
21,5,10,60,9,0
19,8,8,62,99,1
29,10,10,59,30,1
22,3,5,88,19,0
28,1,5,99,80,1
30,9,10,87,57,1
27,10,9,89,41,1
28,5,5,78,8,0
28,4,10,67,75,1
26,1,6,79,57,1
23,4,4,91,11,0
26,6,7,87,70,0
29,0,7,86,83,1
27,7,8,59,7,0
30,5,9,55,64,0
18,3,9,78,56,1
27,2,6,73,36,0
30,5,9,88,6,0
28,5,4,71,12,0
24,4,6,96,84,0
27,2,6,55,74,0
23,4,9,94,84,1
27,11,4,69,71,1
30,5,10,58,85,0
29,10,8,55,82,1
26,5,4,73,39,1
21,5,10,81,24,1
20,2,4,68,100,1
30,8,10,97,67,1
23,12,8,58,76,1
20,2,10,94,98,1
20,11,7,52,52,1
29,3,7,89,36,0
30,7,5,84,30,1
30,12,7,62,47,1
27,7,7,99,36,1
26,8,7,60,25,0
20,4,4,91,61,0
26,1,9,83,15,0
30,2,6,78,65,1
24,1,5,78,44,0
24,0,7,82,47,1
19,5,5,51,40,0
29,10,6,100,18,1
22,7,9,58,97,1
25,9,4,55,2,0
20,8,9,88,67,1
30,4,5,69,15,1
24,10,10,89,58,1
25,9,8,51,80,1
21,11,5,68,54,1
23,3,8,76,23,0
19,8,6,54,67,1
30,8,8,51,49,0
18,10,7,73,32,1
23,12,4,72,30,1
28,1,10,87,94,1
20,0,6,84,43,0
20,12,9,79,89,1
20,12,5,54,91,1
25,0,6,62,5,0
18,5,6,82,50,0
26,7,6,52,96,1
22,5,10,99,6,0
23,4,4,73,55,0
29,7,7,71,23,0
25,5,10,83,34,0
29,6,4,77,77,0
20,8,6,70,13,1
28,4,6,78,77,1
20,11,7,72,57,1
23,9,7,67,81,0
18,1,9,90,51,1
30,11,9,60,3,1
27,10,10,78,4,1
21,12,9,73,46,1
27,0,8,59,86,0
23,5,7,98,9,1
26,5,7,70,83,1
19,0,9,61,63,0
26,1,6,99,33,0
21,9,6,94,62,1
20,1,7,61,91,1
19,12,9,70,85,1
19,8,8,68,38,0
29,11,9,90,22,1
26,3,4,62,17,0
25,0,6,85,73,1
30,8,5,89,11,1
24,11,9,80,67,1
24,9,4,58,40,0
25,7,9,83,44,1
30,8,9,87,23,0
20,6,8,53,15,0
22,2,5,70,90,1
26,4,10,55,32,0
26,4,5,90,38,1
19,8,9,60,75,0
20,2,9,89,92,0
23,9,4,51,10,1
28,12,8,66,83,1
27,6,8,90,3,1
28,8,6,91,38,1
30,12,9,75,38,1
29,0,5,78,53,0
21,5,8,59,40,0
23,11,10,72,51,1
23,8,8,56,40,1
19,4,7,65,18,1
22,6,10,89,53,1
20,5,8,96,40,1
20,7,8,79,63,0
25,0,4,75,64,0
21,3,8,72,6,1
25,9,10,91,86,1
26,0,10,56,55,0
22,11,6,98,51,1
24,0,8,85,24,0
22,1,7,82,57,0
22,9,9,89,15,1
19,6,6,100,43,1
23,12,5,62,77,1
26,0,4,52,17,0
30,7,8,79,19,0
26,2,6,89,40,1
27,11,10,69,75,1
26,8,7,95,72,1
18,5,6,93,14,0
27,4,10,96,88,1
27,7,6,91,100,1
27,9,5,96,6,1
20,8,9,96,79,1
24,2,10,93,31,1
29,1,5,51,56,0
20,6,9,63,52,1
27,7,10,97,93,1
20,8,5,85,41,0
25,8,7,70,22,1
26,5,8,72,86,1
29,10,9,94,33,1
21,3,6,85,38,1
22,12,6,95,26,1
25,5,7,72,71,0
30,11,6,68,15,0
26,6,7,72,98,1
22,0,6,95,10,0
25,10,6,97,61,1
26,4,8,94,34,1
27,11,8,65,31,1
26,3,9,64,6,0
23,11,7,56,87,1
18,8,5,76,83,0
25,7,9,62,96,0
23,4,9,53,98,1
27,3,8,97,92,1
18,2,7,61,4,0
24,12,7,61,95,0
22,0,4,69,72,0
23,4,7,91,69,1
20,8,7,67,24,0
23,2,9,79,82,1
20,0,9,71,37,0
30,3,5,89,81,0
24,8,6,55,51,0
20,2,7,70,31,1
24,3,7,98,34,0
22,9,9,86,1,1
23,11,5,53,85,1
22,2,7,93,64,0
29,12,6,94,15,1
22,5,8,64,28,0
25,2,7,97,77,1
29,8,7,98,68,1
21,12,5,93,96,1
30,1,8,78,67,0
19,9,4,53,70,0
21,9,8,59,21,1
26,7,4,93,26,1
25,1,8,78,7,0
26,6,7,86,7,0
28,12,6,96,2,1
18,11,5,87,9,1
23,11,4,84,7,0
19,7,4,68,52,1
20,12,9,96,82,1
23,6,7,74,48,1
28,8,5,91,44,1
26,6,8,58,93,0
18,12,4,69,59,1
26,6,8,74,29,1
23,2,6,62,92,0
18,12,9,76,78,1
18,3,5,54,12,0
25,9,9,95,6,1
18,6,7,64,69,1
30,0,5,82,37,1
29,9,6,86,76,1
23,3,6,59,84,0
24,4,6,53,71,0
29,2,9,93,54,1
18,5,9,92,48,1
23,11,7,76,19,1
20,12,8,80,30,1
22,11,5,79,7,1
24,8,8,58,49,1
21,5,9,55,57,0
19,8,9,62,6,1
28,9,8,52,9,0
30,9,9,92,71,1
21,5,6,50,27,0
29,1,9,98,61,0
29,9,9,63,50,0
26,5,10,68,48,1
28,5,6,66,46,0
25,7,4,96,60,1
23,3,6,70,52,1
21,11,5,51,33,0
27,9,9,76,37,1
23,3,7,86,31,1
28,10,6,66,97,1
29,10,9,81,58,1
30,5,5,58,92,1
20,8,9,53,67,1
19,10,4,98,0,1
28,3,4,95,19,1
26,7,6,53,79,0
27,7,9,81,2,1
26,6,4,51,67,0
26,4,4,82,89,1
30,2,4,56,67,1
21,9,8,66,45,1
24,1,6,75,58,0
29,3,6,93,10,0
28,12,4,55,51,1
26,7,4,90,1,0
19,7,10,77,82,1
27,1,8,52,29,0
29,9,7,67,5,0
28,4,8,86,84,1
23,0,5,87,18,0
29,6,4,69,20,0
27,6,9,84,42,1
29,2,10,94,92,1
29,5,4,56,55,1
19,5,8,99,78,1
24,12,6,51,81,1
25,7,5,72,70,0
24,2,9,87,84,1
30,9,6,65,91,1
22,2,7,95,100,1
29,6,6,73,13,1
22,7,6,98,34,1
19,2,7,78,71,1
24,1,4,55,45,0
27,9,10,70,49,1
24,6,10,55,92,0
21,9,8,60,87,1
20,4,6,67,63,1
20,6,6,76,38,1
19,5,6,65,92,1
27,9,5,79,13,1
18,6,6,89,48,1
23,7,6,77,83,0
20,4,6,88,88,1
23,2,7,70,37,0
28,7,8,100,31,1
22,12,7,73,14,0
21,9,8,61,87,1
18,11,7,95,26,1
22,11,4,100,52,1
20,10,6,65,32,1
29,6,10,74,9,0
27,7,8,75,68,1
29,6,8,52,46,0
30,8,8,90,10,1
21,10,9,72,21,1
18,9,9,93,82,1
30,5,10,77,13,1
22,3,8,97,66,1
29,9,5,78,47,1
30,10,8,94,64,1
18,7,4,68,53,0
19,1,10,96,18,1
23,7,10,63,66,1
25,1,7,96,89,1
19,4,4,95,14,1
23,10,4,93,21,0
29,3,8,61,70,1
26,6,7,64,51,0
20,10,9,77,50,1
27,3,7,87,54,1
29,3,5,67,96,0
30,1,8,56,68,1
23,3,7,57,33,0
25,8,9,70,76,1
24,9,4,72,45,0
27,2,10,93,90,1
27,9,4,93,17,1
21,4,4,61,47,0
26,6,7,88,17,1
24,2,7,90,68,1
28,2,8,60,62,0
20,5,10,78,79,1
23,0,7,58,24,0
26,8,9,81,52,1
24,11,10,78,62,1
27,0,10,98,28,1
22,3,8,68,21,0
27,11,10,99,63,1
19,9,4,67,99,1
23,8,10,98,5,1
25,8,5,77,13,0
28,12,5,69,4,1
23,1,7,57,99,0
21,12,9,87,88,1
29,9,9,77,21,1
30,3,10,63,7,0
26,4,8,84,21,1
29,4,6,86,34,0
26,10,10,56,17,0
30,6,4,67,83,1
20,3,5,95,41,0
30,10,7,81,18,1
22,10,7,74,57,1
30,12,4,75,65,1
29,5,7,81,41,1
30,11,4,96,58,1
29,5,10,54,68,0
24,3,7,67,41,0
23,8,8,58,72,0
30,5,9,98,6,1
28,12,10,79,2,1
20,7,7,50,54,1
29,2,9,69,20,0
22,1,9,73,32,1
28,10,5,53,50,0
29,11,10,64,54,1
29,1,4,63,61,1
27,3,8,93,56,1
29,5,10,57,54,0
25,1,5,74,11,0
19,1,6,73,38,1
30,12,10,58,82,0
20,1,8,86,1,0
20,7,6,96,27,1
20,6,8,93,56,1
19,1,5,98,15,0
24,5,7,70,17,1
28,1,5,85,76,1
27,4,10,94,3,0
28,4,5,83,77,1
29,6,6,91,6,0
30,3,7,74,14,0
28,9,4,83,1,0
23,2,7,86,53,1
28,2,10,80,98,1
27,1,4,66,27,1
18,12,7,82,36,1
26,12,7,77,89,1
28,8,8,89,19,1
22,1,8,63,19,0
24,9,9,98,83,1
19,4,9,77,93,0
21,0,5,55,55,1
27,9,4,69,85,1
29,2,4,50,90,1
18,2,7,72,66,1
29,4,5,73,16,0
22,11,4,99,3,1
24,4,8,54,33,0
27,10,4,81,58,1
18,7,10,86,21,1
22,12,4,86,86,1
21,11,8,50,5,0
18,3,4,80,46,1
20,2,10,52,70,0
29,11,9,76,28,1
24,11,6,67,9,0
19,8,9,53,22,1
26,0,7,54,59,0
30,4,6,55,70,0
23,3,6,86,100,1
27,3,7,73,75,0
30,12,5,96,69,1
21,2,4,76,3,0
23,10,10,94,1,0
18,12,9,74,94,1
19,3,8,65,53,0
18,2,9,67,11,1
21,8,7,94,47,1
29,1,8,56,64,1
24,1,8,86,7,0
20,3,6,66,40,0
24,11,10,97,41,1
22,3,4,62,17,0
27,1,5,56,21,0
23,6,4,84,45,0
21,7,6,79,33,0
19,2,10,93,38,0
29,9,4,63,41,1
29,3,6,75,65,1
22,4,10,61,3,0
25,8,9,85,31,1
19,12,10,58,15,1
30,3,5,62,51,0
28,10,4,87,75,1
19,0,4,62,82,0
20,1,10,71,15,1
25,0,5,86,55,0
24,7,4,74,87,1
23,3,5,67,35,0
20,0,8,89,78,1
22,7,7,85,61,1
22,6,5,76,25,0
30,8,5,90,69,1
24,12,9,72,61,1
25,5,8,82,41,1
20,0,6,88,28,1
30,12,6,53,60,1
30,9,5,60,12,1
21,4,8,100,94,1
21,9,10,74,45,0
20,2,5,87,40,0
29,5,8,51,90,0
27,9,5,86,24,0
30,7,8,69,22,0
19,0,5,88,28,1
25,0,6,89,25,0
23,11,5,70,7,1
27,11,5,99,14,1
23,1,6,95,84,1
19,5,6,70,17,0
29,6,10,90,62,1
20,11,8,94,78,1
21,10,8,61,48,1
29,4,5,61,93,1
29,9,7,99,72,1
27,5,10,89,28,0
19,7,5,71,95,1
23,5,5,90,11,0
28,10,9,71,57,1
21,3,9,54,44,0
19,11,4,53,49,1
24,2,7,81,48,1
24,1,10,80,100,0
28,12,9,64,20,1
30,0,6,51,40,0
19,1,6,60,48,1
19,8,4,71,76,0
25,11,4,77,83,1
24,2,4,56,42,0
21,6,9,85,92,1
26,4,9,68,38,1
18,6,8,85,62,1
23,0,7,55,37,0
28,9,7,62,12,1
20,10,6,55,60,0
22,12,7,80,62,1
22,1,9,84,49,1
24,5,5,78,5,1
25,4,5,67,72,1
30,11,9,56,10,0
30,8,7,98,75,1
18,6,10,83,53,0
28,7,8,65,60,1
24,11,4,82,73,1
30,9,9,89,18,1
30,7,5,60,27,0
20,0,7,55,87,0
28,2,10,88,33,1
29,12,4,55,49,1
26,5,10,67,66,1
18,12,9,89,75,1
24,1,7,59,18,0
27,12,4,56,72,1
30,4,10,84,44,0
22,6,9,81,73,1
18,2,6,75,18,0
28,11,7,52,50,0
23,11,5,53,95,1
22,5,4,71,38,1
25,11,9,56,29,1
29,7,10,70,34,0
27,10,4,62,56,1
24,11,7,98,66,1
18,8,10,60,8,0
26,6,5,99,67,1
18,2,5,62,7,0
25,0,6,95,25,1
25,8,7,90,15,1
21,5,7,88,57,1
25,9,8,72,44,1
22,11,10,94,11,1
24,0,5,86,99,0
21,10,5,93,26,1
24,8,4,99,98,1
25,2,9,61,76,0
21,4,8,69,91,0
28,4,7,74,44,0
21,7,6,93,66,1
24,9,4,50,65,0
23,8,9,88,77,1
28,1,7,54,43,0
28,5,10,67,33,0
28,4,5,59,66,0
18,12,10,88,51,1
28,2,9,51,83,0
22,4,7,75,49,0
27,11,8,62,43,0
21,10,8,90,100,1
28,5,8,69,21,0
26,2,6,56,60,1
22,11,10,85,97,1
28,5,9,55,28,0
29,4,7,100,42,1
27,4,7,57,60,1
28,9,8,89,9,1
21,8,4,93,48,1
24,0,10,59,17,0
23,6,8,79,18,1
29,2,10,55,62,0
20,5,9,53,0,0
21,12,10,60,73,1
25,12,10,99,11,1
24,10,7,75,54,0
24,0,4,84,25,0
18,5,10,83,24,1
18,10,9,65,28,0
23,4,5,56,49,0
22,2,4,52,38,0
25,11,8,88,67,1
28,2,6,81,45,0
20,12,7,51,29,1
20,3,9,51,75,0
19,5,9,91,4,1
28,4,10,84,79,1
18,10,4,91,2,1
19,6,7,74,15,0
25,11,5,63,88,1
18,4,7,92,12,0
22,9,8,94,17,1
19,8,9,89,15,1
30,1,7,62,77,1
22,8,5,72,90,1
20,0,8,81,26,0
25,5,5,50,1,0
19,9,9,81,19,0
30,8,4,96,92,1
22,10,5,79,37,1
18,1,10,61,5,0
23,12,9,70,54,1
19,12,4,50,17,0
20,5,6,78,79,1
29,1,6,71,23,1
24,7,6,74,88,1
30,6,9,60,14,1
29,0,10,60,13,0
27,7,10,86,86,1
27,6,10,72,78,1
28,11,5,80,62,1
24,7,4,54,33,0
18,11,10,93,67,1
27,11,8,64,85,1
26,8,9,94,79,1
28,11,5,80,44,1
28,6,5,85,78,1
28,2,8,80,63,0
19,12,7,70,30,1
22,0,8,64,70,0
24,3,4,79,56,0
25,1,10,81,57,1
25,11,9,51,13,0
18,8,8,50,11,0
27,10,6,82,71,1
28,7,6,73,6,0
25,5,8,99,79,1
29,10,6,95,57,1
30,10,5,50,43,1
28,12,6,85,66,1
19,0,5,81,17,0
29,11,7,56,32,0
21,1,10,75,27,0
30,3,9,71,13,0
18,10,10,93,75,1
25,7,9,87,64,1
25,0,8,97,6,0
24,9,7,82,99,1
20,11,8,61,93,1
19,6,9,88,77,1
26,6,7,88,88,1
22,6,6,68,57,0
20,6,8,94,95,1
29,8,10,70,91,1
26,10,5,62,26,0
22,10,6,93,16,0
28,2,8,84,88,1
29,1,10,72,71,0
27,10,9,76,86,1
26,4,10,77,1,0
18,6,5,53,85,1
22,12,10,60,36,1
20,0,9,100,37,1
26,0,6,78,13,0
28,11,8,64,95,1
24,3,8,100,89,1
28,0,7,74,53,0
28,5,8,53,1,0
21,9,10,99,56,1
28,11,9,91,47,1
26,11,8,62,99,1
21,4,7,61,87,1
20,11,8,57,48,1
22,8,6,58,20,0
22,0,6,79,90,0
18,2,6,88,6,0
28,9,10,92,38,1
27,8,6,54,100,1
26,3,5,83,8,0
20,6,8,84,51,1
21,3,9,71,42,1
21,12,8,83,60,0
30,10,4,57,85,1
21,10,8,89,31,0
28,5,7,100,14,1
26,11,6,51,66,0
23,8,10,82,57,1
22,10,5,70,65,1
19,2,10,84,68,1
19,3,9,90,99,1
28,6,10,56,26,0
29,11,10,77,82,1
19,11,9,59,3,0
23,0,4,54,6,0
22,8,4,86,29,0
24,6,7,90,51,1
18,6,9,57,68,1
29,9,4,98,95,1
29,1,6,82,13,0
28,4,8,55,36,0
25,6,7,92,3,1
26,3,5,97,50,0
26,4,9,59,38,0
30,11,9,73,1,0
26,2,4,52,0,0
24,8,8,55,39,1
29,11,6,63,52,0
26,2,5,61,28,0
22,3,4,61,85,0
18,12,8,79,82,1
22,10,4,66,12,1
27,7,6,72,16,0
21,1,6,89,8,0
23,7,7,71,78,1
29,9,5,86,72,1
23,6,5,50,40,0
21,11,9,91,55,1
23,2,9,96,42,0
25,7,6,99,39,1
19,2,9,88,10,0
20,8,5,66,93,1
19,11,4,51,64,1
27,9,7,99,75,1
18,8,6,84,69,1
30,2,6,75,28,0
27,11,10,68,17,1
26,1,7,73,64,1
21,12,8,93,21,1
20,7,5,61,72,0
28,2,9,96,61,0
18,3,10,81,29,1
23,3,4,92,26,1
30,5,7,80,58,0
18,10,6,56,90,0
28,4,10,97,33,1
27,2,7,91,48,1
28,1,8,66,48,0
21,8,7,72,44,1
25,9,4,82,17,1
21,1,8,91,35,1
20,2,6,88,91,1
28,3,7,71,92,1
28,7,7,63,75,1
24,0,5,52,16,0
20,2,9,82,5,0
20,0,5,66,23,0
24,9,8,90,2,0
29,10,10,68,10,1
27,7,10,80,21,1
24,9,5,100,74,1
20,9,9,82,33,1
28,5,7,88,75,1
24,6,5,56,2,0
26,10,7,59,77,1
25,9,8,52,100,1
30,1,4,80,84,1
27,8,10,50,99,1
24,8,7,73,5,0
24,3,10,80,98,1
27,12,9,98,89,1
24,2,6,80,98,1
19,4,8,84,52,1
18,11,9,100,0,1
19,8,4,74,83,1
30,5,7,73,13,1
28,9,6,66,68,1
23,9,6,93,50,1
24,8,10,85,61,1
26,8,7,66,39,0
30,11,7,97,17,1
28,1,9,64,57,0
20,1,5,82,51,0
30,8,8,94,87,1
20,6,9,50,11,0
25,9,7,55,8,0
23,1,8,52,92,0
24,9,9,83,36,1
27,0,10,61,81,0
18,3,10,92,66,1
18,12,8,82,66,1
27,2,9,52,46,0
18,2,4,67,99,1
28,6,7,87,25,1
29,11,4,55,70,1
26,9,6,72,35,1
21,7,7,86,0,1
24,8,4,85,9,1
23,1,10,82,32,0
30,9,6,94,56,0
27,7,10,65,96,1
30,7,9,79,75,1
25,1,6,54,48,0
21,10,9,64,40,1
23,8,8,50,89,0
21,4,4,75,86,1
23,1,8,61,60,0
21,9,6,61,95,1
21,7,9,62,30,0
22,3,5,62,31,0
23,2,10,56,15,0
28,10,7,89,0,0
26,0,10,80,47,0
25,9,10,67,62,1
30,8,6,75,28,0
20,0,8,77,61,0
18,8,6,75,87,1
25,1,9,83,58,1
18,0,9,63,48,0
23,5,8,66,23,0
21,4,7,89,43,1
25,6,5,76,89,1
23,6,6,78,23,0
27,10,5,56,92,1
21,8,7,74,25,1
29,2,7,50,22,0
20,10,8,84,92,1
25,4,6,85,72,1
19,11,5,53,27,0
25,10,4,78,95,1
23,5,8,85,32,1
24,1,6,93,77,1
27,10,9,84,22,0
22,5,6,93,65,1
29,7,4,74,78,1
28,2,10,60,81,0
23,6,9,89,73,1
19,1,5,71,29,0
28,4,9,67,77,0
22,7,10,73,95,1
25,6,5,61,2,1
21,10,6,97,89,1
21,2,7,56,12,0
25,8,4,51,98,1
30,1,4,66,79,1
28,6,6,64,31,0
25,10,5,58,67,0
18,0,9,72,41,0
25,8,6,85,56,1
29,8,5,87,76,1
29,10,8,77,67,1
26,4,6,80,69,1
19,7,6,73,52,1
22,0,4,83,97,0
23,4,7,84,1,0
25,12,7,69,1,0
30,4,8,64,0,0
21,6,8,77,50,1
29,11,9,74,48,1
19,6,9,65,66,0
27,12,9,93,34,1
29,8,10,67,52,1
19,2,5,68,14,0
27,7,6,94,79,1
23,0,5,53,68,1
19,4,6,58,91,1
18,3,4,59,1,0
23,6,6,100,63,0
25,11,10,52,42,1
30,2,4,67,99,1
26,7,5,62,32,0
18,1,10,95,31,1
25,3,9,52,25,0
30,1,8,92,26,0
28,4,6,60,80,0
29,8,8,57,32,0
22,3,6,53,85,1
19,3,9,77,41,1
30,4,8,57,50,0
18,0,8,100,88,1
27,2,6,99,11,1
25,1,9,89,43,0
30,10,4,53,45,0
29,8,10,56,16,0
23,8,10,91,96,1
25,11,5,51,88,1
29,2,6,52,62,0
26,4,8,94,62,1
20,8,6,70,93,1
27,8,5,54,67,1
22,4,8,73,58,1
28,8,7,96,23,0
27,5,10,89,30,1
19,10,8,74,24,1
25,12,8,59,78,1
24,10,6,57,12,0
19,0,10,58,22,0
21,1,7,62,12,1
28,6,9,81,67,1
27,4,4,73,28,0
19,0,5,91,62,0
19,7,10,90,7,1
29,6,10,73,90,1
27,4,8,52,93,1
22,1,5,83,12,1
21,8,7,62,24,0
21,9,9,61,71,1
24,11,4,99,81,1
28,7,9,92,54,1
20,12,5,85,51,1
28,2,8,88,56,0
23,8,6,73,52,1
24,11,6,88,30,1
21,6,10,85,95,1
25,7,7,50,92,1
22,9,4,83,17,0
22,0,6,64,27,0
18,12,10,94,35,1
26,8,8,86,19,1
25,5,5,58,33,0
27,3,5,66,38,1
24,9,5,96,9,1
30,7,5,81,88,1
19,9,9,69,4,0
27,6,4,99,7,0
23,5,10,77,53,0
19,12,5,97,83,1
18,10,10,90,48,1
26,0,6,84,72,1
26,11,5,59,6,0
24,7,10,88,73,1
21,6,6,100,50,1
23,1,7,86,95,1
24,4,4,75,64,1
